;;sensor_resp;;;conv.sen.data;;;path_corr.;;;timestamp;
index;tick;stat;y/var;z/value;stat;y;z;x;y;z;
2;2819;0;0.343553;0.000000;0;0.343553;0.000000;0.000000;-1.030660;-1.717767;23:16:32:819445;
3;3301;0;0.207200;0.000000;0;0.207200;0.000000;0.000000;-0.823460;-2.061320;23:16:33:301406;
4;3877;0;0.343553;0.000000;0;0.343553;0.000000;0.000000;-0.479907;-2.404874;23:16:33:877446;
5;4335;0;0.343553;0.000000;0;0.343553;0.000000;0.000000;-0.136353;-2.696074;23:16:34:335594;
6;4912;0;0.198400;0.000000;0;0.198400;0.000000;0.000000;0.062047;-3.039628;23:16:34:912448;
7;5393;0;0.342400;0.000000;0;0.342400;0.000000;0.000000;0.404447;-3.383181;23:16:35:393364;
8;5970;0;0.157600;0.000000;0;0.157600;0.000000;0.000000;0.562047;-3.726735;23:16:35:970414;
9;7009;0;0.240800;0.000000;0;0.240800;0.000000;0.000000;0.802847;-4.404688;23:16:37:009544;
10;8049;0;0.060800;0.000000;0;0.000000;0.000000;0.000000;0.802847;-4.807088;23:16:38:049859;
11;8535;0;0.080800;0.000000;0;0.000000;0.000000;0.000000;0.802847;-4.807088;23:16:38:535483;
12;9114;0;0.063200;0.000000;0;0.000000;0.000000;0.000000;0.802847;-5.095887;23:16:39:114301;
13;10154;0;0.128800;0.000000;0;0.128800;0.000000;0.000000;0.931647;-5.446287;23:16:40:154661;
14;12646;0;0.000000;0.090400;0;0.000000;0.000000;0.000000;0.931647;-5.821487;23:16:42:646363;
15;13299;0;0.054400;0.000000;0;0.000000;0.000000;0.000000;0.931647;-6.035888;23:16:43:299347;
16;13686;0;0.000000;0.062400;0;0.000000;0.000000;0.000000;0.931647;-6.035888;23:16:43:686738;
17;14726;0;0.000000;0.114400;0;0.000000;0.114400;0.000000;0.931647;-6.063088;23:16:44:726954;
18;15404;0;0.087200;0.000000;0;0.000000;0.000000;0.000000;0.931647;-6.227888;23:16:45:404161;
19;15791;0;0.000000;0.116000;0;0.000000;0.116000;0.000000;0.931647;-6.111888;23:16:45:791148;
20;15863;0;0.064800;0.000000;0;0.000000;0.000000;0.000000;0.931647;-6.111888;23:16:45:863692;
21;16831;0;0.000000;0.142400;0;0.000000;0.142400;0.000000;0.931647;-6.080688;23:16:46:831400;
22;17873;0;0.000000;0.151200;0;0.000000;0.151200;0.000000;0.658047;-6.046287;23:16:47:873766;
23;18936;0;0.000000;0.101600;0;0.000000;0.101600;0.000000;0.398047;-6.069487;23:16:48:936284;
24;19976;0;0.000000;0.155200;0;0.000000;0.155200;0.000000;0.290047;-6.026288;23:16:49:976315;
25;21018;0;0.000000;0.133600;0;0.000000;0.133600;0.000000;0.290047;-5.892687;23:16:51:018738;
26;22081;0;0.000000;0.139200;0;0.000000;0.139200;0.000000;0.158047;-5.907088;23:16:52:081274;
27;23121;0;0.000000;0.140000;0;0.000000;0.140000;0.000000;0.158047;-5.868687;23:16:53:121563;
28;24162;0;0.000000;0.133600;0;0.000000;0.133600;0.000000;0.158047;-5.735087;23:16:54:161907;
29;25226;0;0.000000;0.177600;0;0.000000;0.177600;0.000000;0.158047;-5.557487;23:16:55:225956;
30;26266;0;0.000000;0.144800;0;0.000000;0.144800;0.000000;0.043647;-5.412687;23:16:56:266230;
31;27308;0;0.000000;0.117600;0;0.000000;0.117600;0.000000;0.043647;-5.295087;23:16:57:308340;
32;28371;0;0.000000;0.083200;0;0.000000;0.000000;0.000000;-0.061153;-5.410287;23:16:58:370974;
33;29411;0;0.000000;0.183200;0;0.000000;0.183200;0.000000;-0.061153;-5.227087;23:16:59:411156;
34;30452;0;0.000000;0.185600;0;0.000000;0.185600;0.000000;-0.447553;-5.041487;23:17:00:451758;
35;31516;0;0.000000;0.128800;0;0.000000;0.128800;0.000000;-0.447553;-4.912687;23:17:01:516043;
36;32556;0;0.000000;0.124800;0;0.000000;0.124800;0.000000;-0.447553;-4.787887;23:17:02:556472;
37;33589;0;0.000000;0.120000;0;0.000000;0.120000;0.000000;-0.447553;-4.667887;23:17:03:588680;
38;34646;0;0.000000;0.114400;0;0.000000;0.114400;0.000000;-0.447553;-4.718287;23:17:04:645679;
39;35322;0;0.069600;0.000000;0;0.000000;0.000000;0.000000;-0.447553;-4.840687;23:17:05:321950;
40;35685;0;0.000000;0.141600;0;0.000000;0.141600;0.000000;-0.447553;-4.699087;23:17:05:685040;
41;35782;0;0.121600;0.000000;0;0.121600;0.000000;0.000000;-0.325953;-4.699087;23:17:05:781773;
42;36749;0;0.000000;0.135200;0;0.000000;0.135200;0.000000;-0.325953;-4.720687;23:17:06:749442;
43;37790;0;0.000000;0.200800;0;0.000000;0.200800;0.000000;-0.545153;-4.694287;23:17:07:789696;
44;38854;0;0.000000;0.114400;0;0.000000;0.114400;0.000000;-0.657953;-4.700687;23:17:08:854172;
45;39507;0;0.069600;0.000000;0;0.000000;0.000000;0.000000;-0.657953;-4.887887;23:17:09:507278;
46;39894;0;0.000000;0.090400;0;0.000000;0.000000;0.000000;-0.657953;-4.887887;23:17:09:894491;
47;40572;0;0.053600;0.000000;0;0.000000;0.000000;0.000000;-0.657953;-5.017487;23:17:10:571698;
48;40935;0;0.000000;0.162400;0;0.000000;0.162400;0.000000;-0.657953;-4.855087;23:17:10:934536;
49;41976;0;0.000000;0.125600;0;0.000000;0.125600;0.000000;-0.657953;-4.867087;23:17:11:975486;
50;42653;0;0.092000;0.000000;0;0.000000;0.000000;0.000000;-0.657953;-5.052687;23:17:12:652469;
51;43040;0;0.000000;0.069600;0;0.000000;0.000000;0.000000;-0.657953;-5.052687;23:17:13:039575;
52;43136;0;0.172800;0.000000;0;0.172800;0.000000;0.000000;-0.485153;-5.052687;23:17:13:136039;
53;43692;0;0.160800;0.000000;0;0.160800;0.000000;0.000000;-0.324353;-5.384687;23:17:13:692388;
54;44080;0;0.000000;0.072800;0;0.000000;0.000000;0.000000;-0.324353;-5.384687;23:17:14:079743;
55;44177;0;0.151200;0.000000;0;0.151200;0.000000;0.000000;-0.173153;-5.384687;23:17:14:176438;
56;44757;0;0.064000;0.000000;0;0.000000;0.000000;0.000000;-0.173153;-5.592688;23:17:14:756709;
57;45120;0;0.000000;0.051200;0;0.000000;0.000000;0.000000;-0.173153;-5.592688;23:17:15:119911;
58;45799;0;0.190400;0.000000;0;0.190400;0.000000;0.000000;0.017247;-5.799888;23:17:15:798880;
59;46184;0;0.000000;0.069600;0;0.000000;0.000000;0.000000;0.017247;-5.799888;23:17:16:184285;
60;46281;0;0.241600;0.000000;0;0.241600;0.000000;0.000000;0.258847;-5.799888;23:17:16:281271;
61;46838;0;0.108800;0.000000;0;0.108800;0.000000;0.000000;0.367647;-5.995088;23:17:16:837375;
62;47321;0;0.161600;0.000000;0;0.161600;0.000000;0.000000;0.529247;-5.995088;23:17:17:321011;
63;47902;0;0.271200;0.000000;0;0.271200;0.000000;0.000000;0.800447;-6.139088;23:17:17:901921;
64;48289;0;0.000000;0.052800;0;0.000000;0.000000;0.000000;0.800447;-6.139088;23:17:18:289033;
65;48362;0;0.206400;0.000000;0;0.206400;0.000000;0.000000;1.006847;-6.139088;23:17:18:361517;
66;48944;0;0.139200;0.000000;0;0.139200;0.000000;0.000000;1.146047;-6.327888;23:17:18:943354;
67;49330;0;0.000000;0.056800;0;0.000000;0.000000;0.000000;1.146047;-6.327888;23:17:19:329336;
68;49426;0;0.123200;0.000000;0;0.123200;0.000000;0.000000;1.269247;-6.327888;23:17:19:425907;
69;50466;0;0.045600;0.000000;0;0.000000;0.000000;0.000000;1.269247;-6.550288;23:17:20:466005;
70;51047;0;0.113600;0.000000;0;0.113600;0.000000;0.000000;1.382847;-6.746288;23:17:21:046643;
71;51434;0;0.000000;0.045600;0;0.000000;0.000000;0.000000;1.382847;-6.746288;23:17:21:434044;
